2024-01-01;Jesaja 7,4;"Hüte dich und bleibe still; fürchte dich nicht, und dein Herz sei unverzagt."
2024-01-02;Psalm 54,8;Mit Freuden will ich dir Opfer bringen und deinem Namen, HERR, danken, dass er so tröstlich ist.
2024-01-03;4. Mose 22,18;Bileam sprach: Wenn mir Balak sein Haus voll Silber und Gold gäbe, so könnte ich doch nicht übertreten das Wort des HERRN.
2024-01-04;Jesaja 60,3;Die Völker werden zu deinem Lichte ziehen und die Könige zum Glanz, der über dir aufgeht.
2024-01-05;Sacharja 8,21;"Lasst uns gehen, den HERRN anzuflehen und zu suchen den HERRN Zebaoth; wir wollen mit euch gehen."
2024-01-06;Psalm 25,12;Wer ist es, der den HERRN fürchtet? Ihm weist er den Weg, den er wählen soll.
2024-01-07;2. Mose 14,13;Fürchtet euch nicht, steht fest und seht zu, was für ein Heil der HERR heute an euch tun wird.
2024-01-08;Jesaja 9,2;Vor dir freut man sich, wie man sich freut in der Ernte.
2024-01-09;1. Samuel 2,10;Der HERR wird richten der Welt Enden. Er wird Macht geben seinem Könige.
2024-01-10;Psalm 34,15;"Lass ab vom Bösen und tue Gutes; suche Frieden und jage ihm nach!"
2024-01-11;Jesaja 48,10;Siehe, ich habe dich geprüft im Glutofen des Elends.
2024-01-12;Psalm 119,19;Ich bin ein Gast auf Erden.
2024-01-13;Psalm 39,6;Siehe, meine Tage sind eine Handbreit bei dir, und mein Leben ist wie nichts vor dir. Ach, wie gar nichts sind alle Menschen, die doch so sicher leben!
2024-01-14;Jesaja 56,1;"So spricht der HERR: Wahrt das Recht und übt Gerechtigkeit; denn mein Heil ist nahe, dass es komme, und meine Gerechtigkeit, dass sie offenbart werde."
2024-01-15;Psalm 147,11;Der HERR hat Gefallen an denen, die ihn fürchten, die auf seine Güte hoffen.
2024-01-16;Jesaja 43,1;"Fürchte dich nicht, denn ich habe dich erlöst; ich habe dich bei deinem Namen gerufen; du bist mein!"
2024-01-17;Hosea 11,3;Ich hatte Ephraim laufen gelehrt und sie auf meine Arme genommen. Aber sie merkten nicht, dass ich sie heilte.
2024-01-18;1. Könige 18,21;Elia sprach: Wie lange hinkt ihr auf beiden Seiten? Ist der HERR Gott, so wandelt ihm nach, ist’s aber Baal, so wandelt ihm nach.
2024-01-19;Sprüche 30,8;Gib mir weder Armut noch Reichtum, gib mir zu essen, soviel ich brauche.
2024-01-20;Jeremia 10,12;Der HERR hat die Erde durch seine Kraft gemacht und den Himmel ausgebreitet durch seinen Verstand.
2024-01-21;Hiob 2,10;Haben wir Gutes empfangen von Gott und sollten das Böse nicht auch annehmen?
