Abbreviation;Filename;German;Hebrew;English;Greek
Gen;Genesis;1. Mose;בראשית;Genesis;γένεσις
Ex;Exodus;2. Mose;שמות;Exodus;ἔξοδος
Lev;Leviticus;3. Mose;ויקרא;Leviticus;λευϊτικόν
Num;Numbers;4. Mose;במדבר;Numbers;ἀριθμοί
Dtn;Deuteronomy;5. Mose;דברים;Deuteronomy;δευτερονόμιον
Jos;Joshua;Josua;יהושע;Joshua;ἰησοῦς
Ri;Judges;Richter;שופטים;Judges;κριταί
Rut;Ruth;Rut;רות;Ruth;ῥούθ
1Sam;Samuel_1;1. Samuel;שמואל א;1 Samuel;βασιλειῶν αʹ
2Sam;Samuel_2;2. Samuel;שמואל ב;2 Samuel;βασιλειῶν βʹ
1Kön;Kings_1;1. Könige;מלכים א;1 Kings;βασιλειῶν γʹ
2Kön;Kings_2;2. Könige;מלכים ב;2 Kings;βασιλειῶν δʹ
1Chr;Chronicles_1;1. Chronik;דברי הימים א;1 Chronicles;παραλειπομένων αʹ
2Chr;Chronicles_2;2. Chronik;דברי הימים ב;2 Chronicles;παραλειπομένων βʹ
Esra;Ezra;Esra;עזרא;Ezra;ἔσδρας αʹ
Neh;Nehemiah;Nehemia;נחמיה;Nehemiah;ἔσδρας βʹ
Est;Esther;Ester;אסתר;Esther;ἐσθήρ
Hiob;Job;Hiob;איוב;Job;ἰώβ
Ps;Psalms;Psalmen;תהלים;Psalms;ψαλμοί
Spr;Proverbs;Sprüche;משלי;Proverbs;παροιμίαι
Pred;Ecclesiastes;Prediger;קהלת;Ecclesiastes;ἐκκλησιαστής
Hld;Song_of_Songs;Hoheslied;שיר השירים;Song of Solomon;ἆσμα ἀσμάτων
Jes;Isaiah;Jesaja;ישעיה;Isaiah;ἠσαΐας
Jer;Jeremiah;Jeremia;ירמיה;Jeremiah;ἱερεμίας
Klgl;Lamentations;Klagelieder;איכה;Lamentations;θρῆνοι
Hes;Ezekiel;Hesekiel;יחזקאל;Ezekiel;ἰεζεκιήλ
Dan;Daniel;Daniel;דניאל;Daniel;δανιήλ
Hos;Hosea;Hosea;הושע;Hosea;ὡσηέ αʹ
Joel;Joel;Joel;יואל;Joel;ἰωήλ δʹ
Am;Amos;Amos;עמוס;Amos;ἀμώς βʹ
Obd;Obadiah;Obadja;עבדיה;Obadiah;ὀβδιού εʹ
Jona;Jonah;Jona;יונה;Jonah;ἰωνᾶς ϛ'
Mi;Micah;Micha;מיכה;Micah;μιχαίας γʹ
Nah;Nahum;Nahum;נחום;Nahum;ναούμ ζʹ
Hab;Habakkuk;Habakuk;חבקוק;Habakkuk;ἀμβακούμ ηʹ
Zef;Zephaniah;Zefanja;צפניה;Zephaniah;σοφονίας θʹ
Hag;Haggai;Haggai;חגי;Haggai;ἀγγαῖος ιʹ
Sach;Zechariah;Sacharja;זכריה;Zechariah;ζαχαρίας ιαʹ
Mal;Malachi;Maleachi;מלאכי;Malachi;μαλαχίας ιβʹ
